eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
1.20E+002,6.01E-001,2.93E-001,3.33E-001,2.20E-001,7.43E-001,4.43E-001,3.68E-001,3.92E-001,1.73E-001,6.89E+000,8.28E+000,-6.54E-001,50.6279,77.465,663.949
1.21E+002,5.44E-001,1.02E-001,2.23E-001,3.98E-001,2.70E-001,6.05E-001,3.69E-001,2.13E-001,3.18E-001,1.42E+000,6.00E+000,-1.48E+001,45.3194,10.4124,298.979
122,2.99E-001,6.12E-001,4.76E-001,4.63E-001,1.96E-001,4.95E-001,3.36E-001,2.54E-001,1.53E-001,7.46E+000,3.17E+001,-1.46E+001,49.3597,212.622,657.169
123,4.41E-001,6.19E-001,5.01E-001,3.35E-001,1.74E-001,3.30E-001,3.92E-001,2.10E-001,2.09E-001,8.62E+000,3.52E+000,-1.01E+001,56.8211,83.3636,780.953
124,1.80E-001,5.26E-001,2.25E-001,2.41E-001,6.00E-001,8.17E-001,3.74E-001,2.92E-001,2.33E-001,6.07E+000,3.24E+001,-1.85E+000,51.8772,230.916,701.225
125,7.76E-002,1.22E-001,2.06E-001,2.29E-001,3.83E-001,5.08E-001,3.47E-001,2.46E-001,3.61E-001,8.65E+000,3.87E+001,-2.99E+000,41.8127,84.5247,182.522
126,2.45E-001,1.28E-001,2.01E-001,2.76E-001,7.93E-002,9.37E-001,3.20E-001,3.28E-001,3.04E-001,8.85E+000,2.06E+001,-1.12E+001,42.7114,55.2604,241.736
127,3.31E-002,6.72E-001,4.29E-001,7.26E-001,8.43E-001,9.14E-001,2.12E-001,2.69E-001,1.58E-001,6.03E+000,2.59E+000,1.95E-001,44.0491,44.768,627.307
128,5.07E-001,4.01E-001,4.61E-001,1.58E-002,4.05E-001,1.22E-001,2.68E-001,2.86E-001,1.05E-001,5.54E+000,3.12E+001,4.54E+000,39.757,122.347,468.93
129,2.81E-001,1.99E-001,2.72E-001,2.82E-001,9.20E-001,5.94E-001,3.53E-001,2.62E-001,1.84E-001,4.07E+000,2.30E+001,-5.21E+000,42.1508,77.5844,365.591
130,2.91E-001,5.33E-001,7.66E-001,7.36E-001,7.24E-001,1.69E-001,3.01E-001,2.18E-001,1.93E-001,2.38E+000,2.28E+001,-4.25E+000,48.5174,163.919,744.451
