,eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
,9.20E+001,7.03E-001,7.70E-001,4.24E-001,4.71E-001,4.86E-001,7.59E-001,2.07E-001,2.12E-001,1.96E-001,7.49E+000,3.62E+001,-1.612342376,45.3124,242.744,711.375
,9.30E+001,7.25E-001,4.65E-001,5.10E-001,1.74E-001,7.92E-001,2.21E-001,3.98E-001,3.16E-001,1.59E-001,5.55E+000,6.08E+000,-3.41424785,56.4671,86.9006,941.337
,9.40E+001,7.41E-001,4.05E-001,3.09E-002,6.18E-001,4.06E-001,4.33E-001,3.52E-001,2.94E-001,1.86E-001,2.13E+000,3.45E+001,-12.12648061,48.9199,120.812,680.482
,9.50E+001,7.44E-001,7.24E-001,6.53E-001,5.65E-001,9.34E-001,5.35E-001,2.23E-001,3.50E-001,3.44E-001,8.80E+000,3.20E+001,-4.3284429,53.0209,303.095,969.153
,9.60E+001,7.63E-001,2.61E-001,7.74E-001,8.37E-001,9.08E-001,8.00E-001,3.31E-001,3.67E-001,3.12E-001,4.72E+000,1.61E+001,-2.201175404,59.1617,137.43,895.53
,9.70E+001,7.75E-001,6.46E-002,2.29E-001,6.23E-001,5.07E-001,3.11E-001,2.44E-001,2.77E-001,1.82E-001,7.53E+000,3.43E+001,0.1789842896,39.2652,58.0261,361.966
,9.80E+001,7.89E-001,1.12E-001,4.68E-001,2.98E-001,9.69E-001,5.15E-002,2.67E-001,2.31E-001,1.81E-001,7.86E+000,3.69E+001,-4.263007263,38.6877,85.9738,337.91
,1.00E+002,7.96E-001,7.32E-001,2.27E-001,9.56E-001,1.85E-001,9.77E-002,2.96E-001,2.38E-001,1.00E-001,4.33E-001,8.14E+000,-10.22129143,53.433,36.0976,815.498
,1.01E+002,3.89E-002,4.59E-001,4.66E-002,4.88E-001,8.80E-001,7.84E-001,3.67E-001,2.38E-001,1.50E-001,1.86E-001,2.43E+001,-14.57424487,46.7357,115.701,591.555
,1.02E+002,9.56E-002,5.35E-001,3.58E-001,2.92E-001,2.63E-001,6.75E-001,3.54E-001,3.77E-001,3.65E-001,5.82E+000,6.80E+000,1.381804224,58.17,71.5848,659.999
