id	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	ofn1	ofn2	ofn3
209	0.63	0.109	0.497	0.882	0.727	0.719	0.247	0.336	0.152	0.749	34.5	-3.27	39.7	56	424
210	0.671	0.286	0.502	0.091	0.132	0.0288	0.205	0.343	0.329	1.59	23.5	-10.3	41.9	61.4	439
211	0.437	0.781	0.78	0.037	0.636	0.831	0.344	0.38	0.291	8.07	9.72	-1.78	74.3	190	1.24e+03
212	0.446	0.149	0.763	0.229	0.108	0.314	0.318	0.297	0.344	1.9	6.25	-14.2	50.5	26.9	438
213	0.361	0.175	0.233	0.412	0.0679	0.788	0.234	0.331	0.382	0.614	6.69	4.43	44	12.8	325
214	0.164	0.527	0.453	0.415	0.148	0.473	0.38	0.267	0.261	3.12	32.9	4.69	51.3	191	574
215	0.466	0.672	0.0553	0.16	0.322	0.525	0.224	0.395	0.174	2	3.34	-5.66	46.9	17.9	615
216	0.53	0.31	0.323	0.855	0.948	0.609	0.309	0.245	0.304	3.55	16.8	-9.2	45.5	85.4	587
217	0.596	0.414	0.382	0.565	0.827	0.217	0.231	0.2	0.156	0.407	24.3	4.37	37.8	88.1	544
218	0.149	0.00544	0.475	0.23	0.564	0.194	0.23	0.233	0.236	3.3	3.92	3.57	38.5	7.62	124
219	0.0275	0.787	0.743	0.998	0.573	0.00959	0.274	0.323	0.245	6.86	25.3	-13.8	55.9	230	787
220	0.328	0.224	0.193	0.153	0.534	0.698	0.328	0.308	0.146	0.323	20.2	-7.31	41.9	46.2	363
221	0.59	0.0426	0.16	0.586	0.0408	0.67	0.239	0.237	0.208	4.18	1.49	-6.61	39	11.1	238
222	0.425	0.624	0.681	0.852	0.358	0.0121	0.34	0.399	0.282	0.843	28.9	-2.84	59.9	192	891
223	0.296	0.331	0.475	0.544	0.283	0.147	0.314	0.298	0.245	4.7	35.6	2.79	44.2	142	436
224	0.549	0.498	0.547	0.302	0.667	0.606	0.326	0.236	0.309	7.59	35.5	-11.5	50	278	761
225	0.345	0.00997	0.506	0.728	0.279	0.614	0.272	0.266	0.244	5.64	23.4	2.91	40.1	56.2	233
226	0.143	0.348	0.482	0.18	0.225	0.106	0.232	0.382	0.391	0.343	3.38	-9.4	46.8	6.32	374
227	0.0912	0.579	0.414	0.147	0.354	0.0112	0.372	0.273	0.156	4.61	34.3	-8.49	51.4	214	623
228	0.274	0.431	0.00771	0.837	0.67	0.202	0.224	0.333	0.365	3.72	28.3	-12.4	41.1	79.6	440
229	0.72	0.0721	0.0123	0.756	0.765	0.381	0.226	0.328	0.21	1.27	36.1	-13.8	39.9	-0.618	371
