dv1,dv2,of1,of2,nlc
1.3368408668,15.5589663589,65.5854508997,71.1999277997,29.1184857368
1.3384373585,14.5613692303,61.4861145604,67.1140093903,27.3166182021
1.3566833555,10.4621292979,44.9644814944,50.7468646590,20.1653467724
1.3588547108,9.1863996485,39.6431602607,45.4440675058,17.7631507591
1.3609408361,0.5545726700,6.2832873122,12.1020194336,1.0756366030
1.3609408361,9.1019506236,39.3481970304,45.1669291518,17.6539374869
1.3609408361,13.3475539150,57.3636340751,63.1823661965,25.8886135691
1.3609408361,19.7776128164,84.7595768301,90.5783089515,38.3602103264
1.3737933018,16.4333425725,71.1720468085,77.1011998698,32.4786011403
1.3858153258,3.6021485942,16.8031018992,22.8364806935,7.2443756473
1.3978630730,6.2451801385,28.1044339313,34.2431724866,12.7791760336
1.3978630730,11.6755542959,51.6395623387,57.7783008939,23.8910584367
1.4139889141,8.9544156049,40.2699773930,46.5511666865,18.7481264757
1.4184526174,15.8740615639,71.0198443286,77.3407533398,33.4461662611
1.4184526174,19.7776128164,88.3593820270,94.6802910382,41.6708303570
1.4218831348,8.4942243940,38.4714410090,44.8229611373,17.9837457375
1.4381898294,10.1771206922,46.4392026157,52.9372413989,22.0437749864
1.4534869238,1.0907575028,8.2980160867,14.9350208716,2.4131209216
1.4534869238,1.4059987112,9.2340836451,15.8710884300,3.1105400579
1.4534869238,11.4557422099,52.7293068936,59.3663116785,25.3439386204
1.4557384334,12.1245566439,55.8479277510,62.5055104351,26.9067461216
1.4567453421,8.2102614307,38.1611264874,44.8279222227,18.2453786307
1.4567453421,8.8671849802,41.1246573840,47.7914531194,19.7052370036
1.4572368802,7.4196620600,34.6164737786,41.2877693215,16.4995861435
1.4572368802,17.2810091438,79.3940152063,86.0653107492,38.4289064261
1.4605165652,8.9764644527,41.7287552257,48.4301136500,20.0515018934
1.4678686864,6.2386216439,29.5546668476,36.3236632692,14.0764025276
1.4690014913,8.8671849802,41.4798616242,48.2593098133,20.0382070522
1.4731675626,10.6527924308,49.7713002912,56.5892558802,24.2100885639
1.4731675626,11.2024986051,52.2925694948,59.1105250838,25.4593793250
1.4735920175,15.3854220525,71.5516196642,78.3735046524,34.9858599121
1.4934453422,13.2786449386,62.6935014868,69.7004437367,31.0142327471
1.5204943910,13.8517658943,66.5641909679,73.8272490549,33.5353934326
1.5265809240,4.1579307170,21.2425346409,28.5638570959,10.1471838414
1.5274421971,12.2082169970,59.0391079399,66.3686938772,29.8270585400
1.5353946581,9.6828510564,47.2895930285,54.6956990230,23.9040737510
1.5460857570,18.2939218815,89.1734861600,96.6830900766,45.7933691370
1.5461826518,7.4991163833,37.1929894865,44.7035347020,18.7741508908
1.5481500055,5.6076321684,28.2939050403,35.8235751626,14.0745401318
